drive_step,theta_c,x_dot_c,y_dot_c,x_c,y_c,x_o
0.744000,-0.018820,1.202345,-0.006414,265.805786,15.555731,0.000000
0.764000,-0.018841,1.226297,-0.003862,265.829987,15.555658,0.000000
0.784000,-0.018806,1.292141,-0.008833,265.855377,15.555487,0.000000
0.804000,-0.018800,1.319514,-0.006489,265.881439,15.555364,0.000000
0.824000,-0.018767,1.383624,-0.010188,265.908661,15.555167,0.000000
0.844000,-0.018760,1.412650,-0.007997,265.936615,15.555012,0.000000
0.864000,-0.018745,1.468809,-0.010820,265.965576,15.554796,0.000000
0.884000,-0.018736,1.509103,-0.011788,265.995300,15.554600,0.000000
0.904000,-0.018724,1.555527,-0.011201,266.026062,15.554359,0.000000
0.924000,-0.018702,1.604774,-0.013238,266.057648,15.554112,0.000000
0.944000,-0.018708,1.648435,-0.013035,266.090179,15.553852,0.000000
0.964000,-0.018685,1.693129,-0.013817,266.123688,15.553568,0.000000
0.984000,-0.018692,1.743552,-0.015618,266.158142,15.553273,0.000000
1.006000,-0.018666,1.801943,-0.016465,266.197083,15.552935,0.000000
